,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,cabo san lucas,75,MX,1564017474,65,22.89,-109.91,87.01,17.22
1,victoria,75,BN,1564017563,88,5.28,115.24,78.8,2.24
2,busselton,100,AU,1564017563,68,-33.64,115.35,54.0,18.77
3,westport,1,US,1564017286,47,41.14,-73.36,77.0,4.7
4,hobart,75,AU,1564017564,62,-42.88,147.33,55.99,8.05
5,ushuaia,75,AR,1564017564,86,-54.81,-68.31,37.4,6.49
6,northampton,75,AU,1564017564,93,-28.35,114.63,53.6,9.17
7,albany,20,US,1564017460,60,42.65,-73.75,72.0,3.36
8,mataura,99,NZ,1564017565,85,-46.19,168.86,50.0,1.01
9,rikitea,0,PF,1564017565,80,-23.12,-134.97,74.24,7.72
10,grand forks,90,US,1564017565,54,47.91,-97.06,78.8,12.75
11,buraydah,75,SA,1564017566,31,26.33,43.97,87.8,8.05
12,ilinskiy,82,RU,1564017566,93,55.62,38.12,64.0,4.54
13,padang,93,ID,1564017566,80,-0.92,100.36,81.4,16.02
14,port lincoln,100,AU,1564017566,85,-34.72,135.86,57.05,17.76
15,atuona,2,PF,1564017567,73,-9.8,-139.03,80.91,15.79
16,pangnirtung,83,CA,1564017567,60,66.15,-65.72,50.22,5.35
17,hilo,90,US,1564017567,65,19.71,-155.08,82.4,13.87
18,tilichiki,97,RU,1564017568,53,60.47,166.1,55.44,16.87
19,nikolskoye,40,RU,1564017568,72,59.7,30.79,60.8,6.71
20,najran,0,SA,1564017568,17,17.54,44.22,89.6,3.49
21,ugoofaaru,55,MV,1564017569,75,5.67,73.0,81.87,10.4
22,namatanai,100,PG,1564017569,84,-3.66,152.44,77.84,23.17
23,haines junction,100,CA,1564017569,49,60.75,-137.51,59.22,8.52
24,batagay-alyta,81,RU,1564017570,33,67.8,130.41,69.2,19.53
25,punta arenas,0,CL,1564017570,80,-53.16,-70.91,41.0,8.05
26,cape town,75,ZA,1564017545,87,-33.93,18.42,55.0,13.87
27,kapaa,20,US,1564017570,58,22.08,-159.32,87.8,12.75
28,ponta do sol,0,BR,1564017571,69,-20.63,-46.0,61.98,4.79
29,moerai,70,PF,1564017571,77,-22.43,-151.33,73.14,14.43
30,magdagachi,100,RU,1564017571,98,53.45,125.8,47.83,7.2
31,yellowknife,75,CA,1564017572,36,62.45,-114.38,78.8,8.05
32,namibe,63,AO,1564017572,85,-15.19,12.15,66.62,2.51
33,vaini,75,IN,1564017572,94,15.34,74.49,71.6,9.17
34,cherskiy,100,RU,1564017572,76,68.75,161.3,40.63,9.66
